Place Name	Primary Description – Usually helps find location	Secondary Description – Often notes, sometiems helps find location	Dates
Mangati Beach		Not located but presumably one of the beaches near the Mimiwhangata Peninsula	20-21 Dec 39
Mangatuna		On the Uawa River, inland from Marau Point, between Anaura and Tolago Bays	6-7 Dec 41
Mangaiwai		Mangawhai Harbour or Estuary is about three miles south of Bream Tail	14 Feb 42
Mangaiwata	The Mangawhata Stream follows the line of the Taupo-Napier Road (Highway 5) from Titiokura Summit to the Mohaka River	The pass was a dangerous crossing of the stream (A fearful pass)	23, 30 Apr 46; 11 Feb 47
Mangaẁero	a small village about four miles from Mr Stack’s Rangitukia	Bagnall & Petersen show it on the Waiapu river upstream of Rangitukia and Pukemaire, but Arrowsmith’s 1850 map shows it WNW of Rangituklia!	23 Oct 43
Mangungu		The Wesleyan mission station on the Hokianga River, about 25 miles from the heads; on the south bank of the Waihou River near the confluence with the Mangamuka River	21-22 Mar 39
Manukau Bay		Modern Manukau Harbour	1-4 Feb 42; 10 May 43; 1, 5 Feb 44
Maraetai	(Fairburn’s Mission Station)	On the south shore of Tamaki Strait, east of Howick	3-12 Feb 38
Maraetai	(Maunsell’s Mission Station)	On the south bank close to the mouth of the Waikato River	29 Jan-1 Feb 42
Maraetaha River	H. Bay	The name occurs only once, and that amongst specimens from the vicinity of Kahuranaki (list of June 1850) It is probably an error for Maraetotara, which river flows past the foot of Kahuranaki	
Maraetotara River	at base of Kahuranake Hill	Enters the sea east of the Tukituki River	The name occurs in the list of 31 January 1853
Maramanui River		This name is not now recognized. Colenso appears to apply the name to the Wairua River above the falls	25 Feb 36
Maramatitaha	a high precipitous & very dangerous cliff	Apparently the cliffs at the eastern end of Whangaimoana Beach, Palliser Bay	3 Apr 45
Marumaru		Marumaru is shown on Arrowsmith’s 1850 map as being on the Whakatane River downstream from the junction with the Waikare Stream. Bagnall & Petersen (p. 66) show it in the angle between the two streams	15 Jan 44
Maruteangi	on the E. bank of the Wakatane river … about 12 or 14 miles from Pipi	Arrowsmith’s 1850 map shows Maruteangi at the beginning of Colenso’s route to the villages of Maungapohatu. Bagnall & Petersen (p. 66) mark Omaruteangi at the junction of the Whakatane and a stream from Maungapohatu, presumably the Manangaatiutiu	9-10 Jan 44
Mata	Mr Monro’s residence on the N. bank of the (Hokianga) River	Te Mata Point near Pupuwai Creek, Hokianga Harbour. Drury (1853, p.870) mentions an Englishman’s house (Munro) at the point	22-23 Mar 39
Te Mata		A sulphur spring between the Whakatane and Rangitaiki Rivers	22 Jan 44
Te Matau-a-maui		Cape Kidnappers. Colenso also applies the name to the ridge leading to the Cape	8 Dec 43
Te Matai		Arrowsmith’s 1850 map shows Te Matai on the south bank of the Waikaretaheki River, upstream from the confluence with the Waiau. Bagnall & Petersen (p. 66) show it on the north bank opposite the confluence. Colenso’s description favours the Arrowsmith position. Matai is a modern location on the south bank downstream from the confluence. 19 Dec 43 (Bagnall & Petersen p.169 give Colenso’s arrival as the 18th)	
Mataikona		The Mataikona River enters the sea a short distance north of Castle Point	Nov 16-1 Dec 43; 12-13 Mar, 11-15 Apr, 25-29 Oct, 26-28 Nov 45; 19-23 Feb, 29 Aug-3 Sep 46; 13-18 May, 11-13 Oct 47; 2-6 Jun, 31 Oct-1 Nov 48; 28 Apr-1 May 49; 9-12 Mar 50; 4-7 Apr 51; 17-21 Apr 52
Matamata		Thames Valley. The village of Colenso’s day was further north than modern Matamata, in the vicinity of Waharoa	20-21 Jan 42
Matapouri		Matapouri is about one mile south of Sandy Bay	19 Dec 39; 23-24 Sep 41; 6-7 Oct 41; Oct 42 (December 1837 and March 1841 are mentioned in Icones Plantarum 6 t 567 1843)
Matarauẁi	near Cape Kidnapper; Mataraua	Presumably the same place as Matarauwe on Bagnall & Petersen’s map (p. 206) and located about 8 miles south of Cape Kidnappers	4 Dec 45; 10 Feb 46; 17-18 Oct 49; 21 Mar 51
